Dataset,Time(s),sol.Quality,Full_Tour
Atlanta.tsp,300.00004529953003,3630534,Yes
Berlin.tsp,300.00040578842163,19249,Yes
Boston.tsp,300.0007653236389,2226767,Yes
Champaign.tsp,300.000568151474,212895,Yes
Cincinnati.tsp,17.44873595237732,277952,Yes
Denver.tsp,300.0001139640808,546925,Yes
NYC.tsp,300.00013494491577,7210976,Yes
Philadelphia.tsp,300.00047516822815,3624919,Yes
Roanoke.tsp,300.0003619194031,6849948,Yes
SanFrancisco.tsp,300.0008854866028,5600573,Yes
Toronto.tsp,300.0027425289154,9219353,Yes
UKansasState.tsp,53.59984612464905,62962,Yes
UMissouri.tsp,300.0006401538849,662953,Yes
