Dataset,Time(s),sol.Quality,Full_Tour
Atlanta,1.4889296531677245,2014534.8785064959,Yes
Berlin,1.5291262149810791,22674.072425087048,Yes
Boston,4.602874279022217,939293.2198073778,Yes
Champaign,6.904883051,59050.56696,Yes
Cincinnati,4.903865909576416,277952.5864956667,Yes
Denver,6.650901747,131183.4829,Yes
NYC,6.193577671051026,1735712.94035866,Yes
Philadelphia,3.639980506896973,1417583.1176260388,Yes
Roanoke,19.703822708129884,1079991.639647706,Yes
SanFrancisco,7.78596293926239,1050028.0287939843,Yes
Toronto,8.871244812011719,1677805.5892428264,Yes
UKansasState,1.455287199,62962.30925,Yes
UMissouri,7.546664171,159512.5294,Yes
