Dataset,Time(s),Sol.Quality,Full Tour,Etc. Time(s),Etc. Sol.Quality,RelError
Atlanta.tsp,6.527462005615234,2547041.886888512,Yes,...,...,...
Berlin.tsp,15.238149404525757,21359.875141102963,Yes,...,...,...
Boston.tsp,11.815912961959839,1975890.6388088644,Yes,...,...,...
Champaign.tsp,16.42691159248352,152690.83215241088,Yes,...,...,...
Cincinnati.tsp,3.1108787059783936,213800.7970986793,Yes,...,...,...
Denver.tsp,26.298770427703857,423735.8619196345,Yes,...,...,...
NYC.tsp,21.234655141830444,5551350.761755178,Yes,...,...,...
Philadelphia.tsp,9.393563985824585,2299951.58995267,Yes,...,...,...
Roanoke.tsp,85.69428563117981,6207736.366034777,Yes,...,...,...
SanFrancisco.tsp,32.672510623931885,4603393.431597504,Yes,...,...,...
Toronto.tsp,34.25226449966431,8015985.225848547,Yes,...,...,...
UKansasState.tsp,3.3485894203186035,40157.700992767524,Yes,...,...,...
UMissouri.tsp,33.55647397041321,594107.6499783343,Yes,...,...,...
